year-month,EU,PU,EPU,RPU,REPU
2012-4,123.3482806,116.8386597,105.6501123,73.33356061,50.72863135
2012-5,227.7863408,161.5992936,183.6694341,152.8076135,243.2305647
2012-6,257.0818198,215.8207492,310.6869875,154.7070395,147.7453319
2012-7,242.039552,171.7834336,204.5685622,157.8889503,208.8668732
2012-8,175.8630261,151.7765701,161.3249642,173.6870503,157.5298389
2012-9,183.4617637,157.6542755,224.2328404,157.4535997,156.5870748
2012-10,195.1137583,164.9355939,199.256548,158.7898614,201.957934
2012-11,217.9623783,207.0494965,259.1308295,151.6887169,134.2780232
2012-12,244.1016856,226.1519425,292.8263805,272.0839802,327.8736631
2013-1,209.7756659,208.6332168,248.7637895,267.3056912,240.7378862
2013-2,184.7796661,158.9013385,173.2082554,131.6478157,128.2516067
2013-3,189.0627311,187.0423183,212.4072013,103.3395242,178.2004636
2013-4,158.2429016,165.4348488,161.3271525,160.8117601,96.77623092
2013-5,122.2859794,122.0805979,143.6241435,52.86588871,61.63659045
2013-6,114.2729669,150.1202913,138.9469963,144.9604332,155.6299118
2013-7,136.22768,152.5592493,150.0802609,162.2019849,124.8831576
2013-8,118.214075,105.9191666,131.9976766,81.95068316,157.8696655
2013-9,159.034605,175.0365671,211.9321974,180.3489252,243.5018743
2013-10,234.8511225,224.2710288,315.399992,202.6365559,306.1919032
2013-11,157.7019326,144.9170869,167.6207627,166.8861999,220.6505842
2013-12,160.2875461,178.7789906,168.1260439,145.969137,186.4763189
2014-1,130.7541963,141.7808575,156.3607904,163.7287237,248.7790858
2014-2,152.531592,184.4670364,180.326371,189.0573099,254.1336716
2014-3,157.061639,136.4490806,164.099267,201.7426986,139.0298934
2014-4,90.61132326,114.2083476,86.43205775,145.2113866,59.78724648
2014-5,134.7193015,140.2776895,132.0276183,125.1448224,148.0148446
2014-6,102.0896727,127.0841071,108.8464473,127.3545052,139.3884452
2014-7,106.2528989,116.8901918,118.1332002,209.2570856,292.359772
2014-8,87.6374234,96.97758422,76.46328404,184.4204155,88.17300101
2014-9,168.0062648,140.1924996,113.9832054,183.2248493,116.9776734
2014-10,129.901633,125.7361104,144.9787025,138.089485,152.2290508
2014-11,94.99734575,114.185442,95.05670592,159.5122507,186.2593689
2014-12,114.7281632,117.1456873,116.4949893,184.7585843,130.2867818
2015-1,148.119789,127.7866829,135.0234316,162.9697548,131.3117179
2015-2,113.1958855,189.1887038,105.9224062,181.8191962,95.86732711
2015-3,107.7739688,148.259595,128.8531951,82.52272574,73.98975585
2015-4,97.7614841,115.1066585,108.0476385,144.8997133,97.41058861
2015-5,126.4617692,149.9559735,125.636596,186.2995705,161.9036328
2015-6,113.4591116,137.1488961,111.8166827,136.1261782,124.2975944
2015-7,145.493324,141.3421996,127.8034656,112.9163924,112.6383061
2015-8,176.8552109,152.3933441,202.5033915,127.9603503,186.6493538
2015-9,182.1725197,170.0344186,210.1820363,154.1137135,161.7795263
2015-10,130.2665226,162.2165956,162.5954053,179.5268805,208.3013243
2015-11,104.4338957,123.0166989,108.0710272,140.2891155,144.3074378
2015-12,105.0884312,123.8335565,124.0802013,175.5026975,259.0941395
2016-1,172.1181883,148.8111153,156.868782,162.8769271,216.9323307
2016-2,138.3430593,151.4961839,156.4445154,190.2549352,286.4099723
2016-3,100.5066758,127.4906337,116.9368926,102.2921483,73.62076525
2016-4,122.1355786,139.362993,145.2334933,166.4403426,207.0153098
2016-5,106.1358566,149.4896475,128.0193563,149.5951702,117.7998595
2016-6,304.8375904,229.1723322,345.1591406,205.9495423,282.7231346
2016-7,199.0623238,171.9291525,203.7480424,141.5384721,269.5739281
2016-8,110.2253081,108.3280837,94.97477549,76.19127518,57.97224518
2016-9,115.5406197,110.2417517,116.2875772,148.3633732,205.2318867
2016-10,129.4781524,133.6922046,99.87744348,77.09579769,19.45118142
2016-11,312.7039329,320.6047421,349.8262549,338.1477127,385.6090695
2016-12,225.8068214,258.2733399,271.6044113,382.1416364,294.6359333
2017-1,212.9067543,269.731385,235.5337209,368.5194917,343.5560806
2017-2,213.3911937,297.8578689,252.9211728,286.0970457,379.4957158
2017-3,179.7116658,230.9148196,205.216589,279.8761848,323.7374452
2017-4,199.7998888,237.824595,241.640763,332.6320878,398.9935095
2017-5,197.1271388,293.8055581,258.215631,194.850382,273.4515458
2017-6,149.2721358,245.2631287,190.5533162,329.7710152,379.0648909
2017-7,159.4196658,256.9630293,193.8270048,264.6419542,262.7095531
2017-8,132.8215072,200.9283057,161.3164638,168.2353082,155.960344
2017-9,173.7112226,241.3058779,209.0506567,244.0705731,300.7075485
2017-10,164.082612,216.9134026,191.9650788,247.9113528,227.5979471
2017-11,204.9192753,214.9043473,201.9410791,302.3569004,359.058291
2017-12,182.7743838,252.2573315,206.2452993,168.5038324,67.88360522
2018-1,124.9143027,242.1044323,155.4374745,280.6035995,87.63951057
2018-2,132.5771203,207.0741108,156.0538349,156.5870543,142.7310544
2018-3,191.2081621,241.4986688,242.1920437,288.5553834,219.5046489
